City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Half Moon Bay,1,76,37.46,-122.43,60.08,9.17
Pechory,88,100,57.81,27.61,23.0,6.71
Saint-Francois,90,86,46.42,3.91,37.4,4.7
Villa Carlos Paz,20,51,-31.42,-64.5,84.2,9.17
Maldonado,90,88,-34.91,-54.96,68.0,17.22
Sassandra,24,100,4.95,-6.09,81.19,6.96
Onguday,8,45,50.75,86.14,-18.26,1.92
Davila,20,94,18.47,120.58,69.8,4.7
Ischia,5,67,46.03,11.25,23.0,1.7
Sola,40,92,62.78,29.36,28.4,5.82
Nepa Nagar,0,81,21.47,76.4,43.39,3.94
Urubamba,75,48,-13.31,-72.12,60.8,2.15
Kudahuvadhoo,0,100,2.67,72.89,81.51,10.87
Daru,20,64,7.99,-10.85,78.0,2.15
Hervey Bay,76,69,-25.3,152.85,77.0,14.99
Adrar,0,23,27.87,-0.29,51.8,10.29
Kuito,20,97,-12.38,16.94,61.26,8.63
Nemuro,0,100,43.32,145.57,26.79,10.65
Kaoma,64,94,-14.8,24.8,66.3,6.73
Penzance,75,93,50.12,-5.53,50.0,14.99
Ulaangom,8,43,49.98,92.07,-31.27,2.26
Marovoay,40,83,-16.11,46.64,80.6,2.24
Vaitape,92,100,-16.52,-151.75,81.01,8.41
Oussouye,88,60,12.49,-16.54,75.2,2.24
Alegrete,100,85,-29.79,-55.79,78.18,11.54
Alamosa,1,46,37.47,-105.87,36.32,13.87
Jiexiu,0,61,37.02,111.92,7.98,3.94
Mongoumba,0,83,3.64,18.59,76.83,2.71
Karimpur,0,86,23.98,88.63,54.64,6.73
Tam Ky,40,94,15.57,108.48,73.4,2.24
Viedma,0,21,-40.81,-62.99,88.12,12.77
